"","SampleID","General2012","Friendslog2012","Facebook2012","Friends2012","YearsOnFb2012","Age2012","AgeBi","AgeCat","Female","PartyID2012","State"
"681","S964",1,3.97029191355212,1,53,2,24,"1","1",1,"1","FL"
"682","S965",0,0,0,NA,NA,19,"1","1",NA,"0","FL"
"683","S966",1,0,0,NA,NA,67,"0","3",1,"0","FL"
"684","S967",1,5.01063529409626,1,150,4,20,"1","1",NA,"0","FL"
"685","S968",1,0,0,NA,NA,20,"1","1",0,"0","FL"
"686","S969",1,0,0,NA,NA,34,"0","0",1,"1","FL"
"687","S970",0,0,0,NA,NA,27,"0","2",1,"1","FL"
"688","S971",0,0,0,NA,NA,79,"0","3",1,"0","FL"
"689","S972",1,0,0,NA,NA,29,"0","2",0,"2","FL"
"690","S973",1,0,0,NA,NA,84,"0","3",0,"1","FL"
"691","S974",1,0,0,NA,NA,18,"1","1",1,"1","FL"
"692","S975",1,0,0,NA,NA,36,"0","0",0,"0","FL"
"693","S976",0,0,0,NA,NA,18,"1","1",1,"1","FL"
"694","S977",1,5.3890717298165,1,219,2,20,"1","1",0,"1","FL"
"695","S978",0,0,0,NA,NA,40,"0","0",1,"2","FL"
"696","S979",1,0,0,NA,NA,65,"0","3",1,"2","FL"
"697","S980",0,6.4118182677099,1,609,1,29,"0","2",0,"1","FL"
"698","S981",1,0,0,NA,NA,55,"0","0",1,"0","FL"
"699","S982",0,4.40671924726425,1,82,1,18,"1","1",1,"2","FL"
"700","S983",1,0,0,NA,NA,59,"0","0",1,"0","FL"
"701","S984",1,0,0,NA,NA,28,"0","2",1,"2","FL"
"702","S485",0,0,0,NA,NA,89,"0","3",1,"2","OK"
"703","S486",1,0.693147180559945,1,2,2,89,"0","3",1,"1","OK"
"704","S487",1,0,0,NA,NA,75,"0","3",0,"2","OK"
"705","S488",1,0,0,NA,NA,79,"0","3",0,"2","OK"
"706","S489",1,0.693147180559945,1,2,3,66,"0","3",0,"1","OK"
"707","S490",1,0.693147180559945,1,2,3,70,"0","3",1,"2","OK"
"708","S491",1,4.84418708645859,1,127,2,66,"0","3",1,"1","OK"
"709","S492",1,3.68887945411394,1,40,1,82,"0","3",0,"1","OK"
"710","S493",1,4.68213122712422,1,108,1,78,"0","3",0,"1","OK"
"711","S494",1,5.11198778835654,1,166,1,87,"0","3",0,"1","OK"
"712","S495",1,0.693147180559945,1,2,2,67,"0","3",0,"2","OK"
"713","S496",1,0,0,NA,NA,72,"0","3",0,"1","OK"
"714","S497",0,0,0,NA,NA,79,"0","3",1,"1","OK"
"715","S498",1,4.40671924726425,1,82,3,65,"0","3",1,"2","OK"
"716","S499",1,0,0,NA,NA,59,"0","0",0,"1","OK"
"717","S500",1,0.693147180559945,1,2,5,46,"0","0",1,"2","OK"
"718","S501",1,0,0,NA,NA,73,"0","3",1,"2","OK"
"719","S502",1,0,0,NA,NA,66,"0","3",0,"1","OK"
"720","S503",1,0,0,NA,NA,52,"0","0",1,"2","OK"
"721","S504",1,0.693147180559945,1,2,4,56,"0","0",0,"2","OK"
"722","S505",1,0,0,NA,NA,55,"0","0",0,"1","OK"
"723","S506",1,0.693147180559945,1,2,1,55,"0","0",0,"3","OK"
"724","S507",0,0,0,NA,NA,48,"0","0",0,"2","OK"
"725","S508",1,4.29045944114839,1,73,1,69,"0","3",1,"2","OK"
"726","S509",0,0,0,NA,NA,81,"0","3",0,"2","OK"
"727","S510",1,0,0,NA,NA,72,"0","3",0,"2","OK"
"728","S511",1,0.693147180559945,1,2,3,61,"0","3",1,"2","OK"
"729","S512",1,5.62762111369064,1,278,4,60,"0","0",1,"2","OK"
"730","S513",1,0,0,NA,NA,54,"0","0",0,"2","OK"
"731","S514",1,0,0,NA,NA,50,"0","0",0,"2","OK"
"732","S515",0,0,0,NA,NA,92,"0","3",1,"1","OK"
"733","S516",0,0,0,NA,NA,69,"0","3",NA,"2","OK"
"734","S517",NA,0.693147180559945,1,2,2,55,"0","0",1,"2","OK"
"735","S518",1,5.40717177146012,1,223,3,50,"0","0",0,"2","OK"
"736","S519",1,0,0,NA,NA,51,"0","0",1,"1","OK"
"737","S520",1,5.86929691313377,1,354,1,43,"0","0",0,"1","OK"
"738","S521",1,0,0,NA,NA,93,"0","3",0,"1","OK"
"739","S522",1,0,0,NA,NA,80,"0","3",1,"2","OK"
"740","S523",1,0,0,NA,NA,67,"0","3",1,"2","OK"
"741","S524",1,0.693147180559945,1,2,3,60,"0","0",0,"1","OK"
"742","S525",1,0,0,NA,NA,57,"0","0",0,"2","OK"
"743","S526",1,4.60517018598809,1,100,3,58,"0","0",1,"2","OK"
"744","S527",1,2.63905732961526,1,14,2,80,"0","3",1,"1","OK"
"745","S528",1,0,0,NA,NA,70,"0","3",1,"2","OK"
"746","S529",1,0,0,NA,NA,74,"0","3",NA,"3","OK"
"747","S530",0,0,0,NA,NA,63,"0","3",1,"1","OK"
"748","S531",0,0,0,NA,NA,82,"0","3",1,"1","OK"
"749","S532",1,0,0,NA,NA,50,"0","0",0,"1","OK"
"750","S533",NA,0,0,NA,NA,92,"0","3",0,"1","OK"
"751","S534",1,0,0,NA,NA,66,"0","3",1,"1","OK"
"752","S535",1,0,0,NA,NA,47,"0","0",0,"2","OK"
"753","S536",0,0,0,NA,NA,81,"0","3",0,"2","OK"
"754","S537",1,0.693147180559945,1,2,2,78,"0","3",0,"2","OK"
"755","S538",1,5.33753807970132,1,208,2,73,"0","3",1,"1","OK"
"756","S539",NA,0,0,NA,NA,72,"0","3",1,"1","OK"
"757","S540",1,0,0,NA,NA,59,"0","0",0,"1","OK"
"758","S541",1,0,0,NA,NA,60,"0","0",1,"2","OK"
"759","S542",1,0,0,NA,NA,57,"0","0",0,"1","OK"
"760","S543",1,0,0,NA,NA,59,"0","0",1,"2","OK"
"761","S544",1,5.19849703126583,1,181,2,50,"0","0",1,"2","OK"
"762","S545",1,4.91265488573605,1,136,1,56,"0","0",1,"2","OK"
"763","S546",1,0,0,NA,NA,67,"0","3",1,"2","OK"
"764","S547",1,3.46573590279973,1,32,1,71,"0","3",1,"1","OK"
"765","S548",1,0,0,NA,NA,63,"0","3",1,"3","OK"
"766","S549",1,0,0,NA,NA,64,"0","3",0,"2","OK"
"767","S550",1,0,0,NA,NA,92,"0","3",0,"2","OK"
"768","S551",0,0,0,NA,NA,95,"0","3",0,"2","OK"
"769","S552",1,0,0,NA,NA,73,"0","3",0,"2","OK"
"770","S553",1,0,0,NA,NA,81,"0","3",1,"2","OK"
"771","S554",1,0,0,NA,NA,57,"0","0",1,"1","OK"
"772","S555",1,0,0,NA,NA,51,"0","0",0,"2","OK"
"773","S556",NA,0,0,NA,NA,54,"0","0",0,"2","OK"
"774","S557",1,0,0,NA,NA,55,"0","0",1,"2","OK"
"775","S558",1,0,0,NA,NA,54,"0","0",1,"3","OK"
"776","S559",1,0.693147180559945,1,2,1,51,"0","0",1,"2","OK"
"777","S560",1,0,0,NA,NA,53,"0","0",0,"2","OK"
"778","S561",1,0,0,NA,NA,57,"0","0",0,"2","OK"
"779","S562",1,4.38202663467388,1,80,1,50,"0","0",1,"1","OK"
"780","S563",0,5.29831736654804,1,200,4,56,"0","0",1,"2","OK"
"781","S564",1,3.29583686600433,1,27,4,62,"0","3",0,"2","OK"
"782","S565",0,0,0,NA,NA,36,"0","0",0,"1","OK"
"783","S566",1,0.693147180559945,1,2,4,36,"0","0",0,"2","OK"
"784","S567",1,4.76217393479776,1,117,2,47,"0","0",1,"2","OK"
"785","S568",1,4.84418708645859,1,127,2,37,"0","0",1,"1","OK"
"786","S569",1,0,0,NA,NA,41,"0","0",1,"2","OK"
"787","S570",1,0,0,NA,NA,37,"0","0",1,"2","OK"
"788","S571",1,4.0943445622221,1,60,3,51,"0","0",1,"1","OK"
"789","S572",0,0,0,NA,NA,66,"0","3",1,"3","OK"
"790","S573",1,0,0,NA,NA,54,"0","0",1,"1","OK"
"791","S574",1,5.14749447681345,1,172,4,34,"0","0",0,"2","OK"
"792","S575",1,0,0,NA,NA,74,"0","3",0,"2","OK"
"793","S576",0,6.85329909318608,1,947,1,44,"0","0",0,"2","OK"
"794","S577",0,0,0,NA,NA,43,"0","0",1,"3","OK"
"795","S578",0,0,0,NA,NA,71,"0","3",1,"1","OK"
"796","S579",1,0,0,NA,NA,74,"0","3",1,"2","OK"
"797","S580",1,0,0,NA,NA,46,"0","0",1,"2","OK"
"798","S581",1,0,0,NA,NA,50,"0","0",0,"1","OK"
"799","S582",NA,0,0,NA,NA,63,"0","3",0,"2","OK"
"800","S583",0,0,0,NA,NA,32,"0","0",1,"1","OK"
"801","S584",0,0,0,NA,NA,32,"0","0",1,"2","OK"
"802","S585",1,0.693147180559945,1,2,1,39,"0","0",1,"1","OK"
"803","S586",1,0.693147180559945,1,2,3,55,"0","0",0,"1","OK"
"804","S587",0,1.6094379124341,1,5,2,44,"0","0",1,"3","OK"
"805","S588",0,0.693147180559945,1,2,4,31,"0","2",0,"3","OK"
"806","S589",NA,5.27811465923052,1,196,2,52,"0","0",1,"3","OK"
"807","S590",1,0,0,NA,NA,75,"0","3",1,"2","OK"
"808","S591",1,6.65027904858742,1,773,7,30,"0","2",0,"2","OK"
"809","S592",0,0,0,NA,NA,38,"0","0",1,"3","OK"
"810","S593",1,0.693147180559945,1,2,3,31,"0","2",1,"1","OK"
"811","S594",0,0,0,NA,NA,33,"0","0",0,"1","OK"
"812","S595",1,4.26267987704132,1,71,1,30,"0","2",1,"1","OK"
"813","S596",0,0.693147180559945,1,2,1,75,"0","3",1,"3","OK"
"814","S597",1,6.38012253689976,1,590,1,32,"0","0",1,"2","OK"
"815","S598",1,0,0,NA,NA,52,"0","0",1,"1","OK"
"816","S599",1,0,0,NA,NA,30,"0","2",NA,"2","OK"
"817","S600",1,0,0,NA,NA,33,"0","0",0,"3","OK"
"818","S601",1,0.693147180559945,1,2,3,35,"0","0",1,"2","OK"
"819","S602",1,0.693147180559945,1,2,3,30,"0","2",1,"1","OK"
"820","S603",1,4.26267987704132,1,71,2,78,"0","3",0,"2","OK"
"821","S604",0,0,0,NA,NA,54,"0","0",0,"1","OK"
"822","S605",0,0,0,NA,NA,61,"0","3",1,"2","OK"
"823","S606",0,0,0,NA,NA,53,"0","0",0,"2","OK"
"824","S607",NA,0,0,NA,NA,29,"0","2",0,"1","OK"
"825","S608",1,0.693147180559945,1,2,3,36,"0","0",1,"1","OK"
"826","S609",1,0.693147180559945,1,2,3,29,"0","2",1,"1","OK"
"827","S610",0,0,0,NA,NA,29,"0","2",0,"1","OK"
"828","S611",0,0.693147180559945,1,2,6,31,"0","2",1,"2","OK"
"829","S612",0,0.693147180559945,1,2,2,72,"0","3",1,"1","OK"
"830","S613",NA,0,0,NA,NA,48,"0","0",1,"2","OK"
"831","S614",1,3.76120011569356,1,43,2,40,"0","0",0,"2","OK"
"832","S615",1,0,0,NA,NA,95,"0","3",1,"2","OK"
"833","S616",1,0,0,NA,NA,79,"0","3",1,"3","OK"
"834","S617",1,0.693147180559945,1,2,1,63,"0","3",0,"2","OK"
"835","S618",0,0,0,NA,NA,40,"0","0",NA,"1","OK"
"836","S619",1,6.45990445437753,1,639,3,42,"0","0",1,"2","OK"
"837","S620",1,6.79682371827486,1,895,7,29,"0","2",1,"1","OK"
"838","S621",1,6.62539236800796,1,754,7,30,"0","2",0,"2","OK"
"839","S622",1,0.693147180559945,1,2,1,35,"0","0",0,"1","OK"
"840","S623",0,7.04228617193974,1,1144,1,26,"0","2",1,"2","OK"
"841","S624",1,0,0,NA,NA,79,"0","3",0,"3","OK"
"842","S625",0,0,0,NA,NA,56,"0","0",0,"1","OK"
"843","S626",1,0,0,NA,NA,59,"0","0",1,"1","OK"
"844","S627",1,0.693147180559945,1,2,5,58,"0","0",1,"1","OK"
"845","S628",1,0,0,NA,NA,71,"0","3",1,"2","OK"
"846","S629",1,0.693147180559945,1,2,6,29,"0","2",1,"2","OK"
"847","S630",0,0,0,NA,NA,28,"0","2",1,"1","OK"
"848","S631",0,0.693147180559945,1,2,4,39,"0","0",0,"2","OK"
"849","S632",1,0,0,NA,NA,35,"0","0",1,"1","OK"
"850","S633",1,0,0,NA,NA,28,"0","2",1,"1","OK"
"851","S634",1,3.66356164612965,1,39,2,53,"0","0",0,"1","OK"
"852","S635",1,6.64768837356333,1,771,7,26,"0","2",0,"2","OK"
"853","S636",1,0,0,NA,NA,52,"0","0",0,"1","OK"
"854","S637",1,5.52146091786225,1,250,3,43,"0","0",1,"2","OK"
"855","S638",0,0,0,NA,NA,46,"0","0",1,"2","OK"
"856","S639",1,0.693147180559945,1,2,3,60,"0","0",1,"1","OK"
"857","S640",1,0,0,NA,NA,29,"0","2",NA,"1","OK"
"858","S641",1,0,0,NA,NA,55,"0","0",0,"1","OK"
"859","S642",1,0,0,NA,NA,66,"0","3",0,"1","OK"
"860","S643",0,0.693147180559945,1,2,3,30,"0","2",1,"3","OK"
"861","S644",1,0,0,NA,NA,76,"0","3",0,"3","OK"
"862","S645",0,0,0,NA,NA,33,"0","0",0,"2","OK"
"863","S646",1,0.693147180559945,1,2,3,62,"0","3",0,"1","OK"
"864","S647",1,0,0,NA,NA,50,"0","0",0,"2","OK"
"865","S648",1,5.41610040220442,1,225,2,37,"0","0",1,"1","OK"
"866","S649",0,0,0,NA,NA,38,"0","0",1,"1","OK"
"867","S650",0,0,0,NA,NA,49,"0","0",1,"3","OK"
"868","S651",1,0,0,NA,NA,50,"0","0",1,"1","OK"
"869","S652",0,0,0,NA,NA,33,"0","0",1,"2","OK"
"870","S653",1,0,0,NA,NA,32,"0","0",0,"2","OK"
"871","S654",1,0,0,NA,NA,51,"0","0",1,"2","OK"
"872","S655",1,0.693147180559945,1,2,4,61,"0","3",0,"3","OK"
"873","S656",0,0.693147180559945,1,2,5,31,"0","2",0,"2","OK"
"874","S657",0,0,0,NA,NA,25,"1","1",0,"1","OK"
"875","S658",1,0,0,NA,NA,57,"0","0",0,"2","OK"
"876","S659",0,0,0,NA,NA,34,"0","0",1,"3","OK"
"877","S660",1,0.693147180559945,1,2,4,29,"0","2",1,"2","OK"
"878","S661",1,0,0,NA,NA,58,"0","0",1,"1","OK"
"879","S662",1,0.693147180559945,1,2,3,88,"0","3",1,"2","OK"
"880","S663",NA,0,0,NA,NA,27,"0","2",0,"1","OK"
"881","S664",0,0,0,NA,NA,53,"0","0",0,"3","OK"
"882","S665",0,0,0,NA,NA,65,"0","3",0,"3","OK"
"883","S666",0,4.59511985013459,1,99,4,36,"0","0",1,"2","OK"
"884","S667",1,4.27666611901606,1,72,5,35,"0","0",0,"1","OK"
"885","S668",0,0,0,NA,NA,28,"0","2",0,"3","OK"
"886","S669",1,0,0,NA,NA,68,"0","3",0,"2","OK"
"887","S670",1,2.39789527279837,1,11,2,66,"0","3",1,"1","OK"
"888","S671",0,0,0,NA,NA,61,"0","3",0,"1","OK"
"889","S672",1,0,0,NA,NA,38,"0","0",0,"3","OK"
"890","S673",1,0,0,NA,NA,40,"0","0",1,"3","OK"
"891","S674",1,0.693147180559945,1,2,5,23,"1","1",1,"2","OK"
"892","S675",1,0,0,NA,NA,30,"0","2",1,"2","OK"
"893","S676",1,0,0,NA,NA,40,"0","0",0,"2","OK"
"894","S677",0,0,0,NA,NA,29,"0","2",0,"1","OK"
"895","S678",NA,0,0,NA,NA,23,"1","1",0,"1","OK"
"896","S679",0,0.693147180559945,1,2,4,49,"0","0",0,"2","OK"
"897","S680",0,0,0,NA,NA,24,"1","1",1,"3","OK"
"898","S681",NA,0,0,NA,NA,23,"1","1",1,"2","OK"
"899","S682",1,0.693147180559945,1,2,1,49,"0","0",0,"2","OK"
"900","S683",1,7.19518732017871,1,1333,7,25,"1","1",0,"2","OK"
"901","S684",1,0,0,NA,NA,45,"0","0",1,"1","OK"
"902","S685",1,0,0,NA,NA,58,"0","0",0,"1","OK"
"903","S686",0,0,0,NA,NA,29,"0","2",1,"2","OK"
"904","S687",1,5.78382518232974,1,325,5,40,"0","0",0,"1","OK"
"905","S688",0,0.693147180559945,1,2,2,22,"1","1",1,"1","OK"
"906","S689",1,0,0,NA,NA,44,"0","0",NA,"1","OK"
"907","S690",1,5.18738580584075,1,179,2,36,"0","0",0,"1","OK"
"908","S691",1,0.693147180559945,1,2,1,22,"1","1",1,"1","OK"
"909","S692",1,0,0,NA,NA,23,"1","1",0,"1","OK"
"910","S693",1,0,0,NA,NA,67,"0","3",0,"1","OK"
"911","S694",1,0.693147180559945,1,2,1,38,"0","0",1,"2","OK"
"912","S695",1,0,0,NA,NA,54,"0","0",1,"3","OK"
"913","S696",1,0.693147180559945,1,2,2,60,"0","0",0,"2","OK"
"914","S697",0,0.693147180559945,1,2,1,53,"0","0",0,"3","OK"
"915","S698",1,0,0,NA,NA,60,"0","0",1,"2","OK"
"916","S699",1,0,0,NA,NA,40,"0","0",1,"2","OK"
"917","S700",0,0.693147180559945,1,2,2,23,"1","1",1,"3","OK"
"918","S701",1,0,0,NA,NA,62,"0","3",1,"2","OK"
"919","S702",1,0,0,NA,NA,46,"0","0",0,"1","OK"
"920","S703",0,0,0,NA,NA,45,"0","0",0,"2","OK"
"921","S704",0,0,0,NA,NA,69,"0","3",1,"1","OK"
"922","S705",0,0,0,NA,NA,27,"0","2",1,"3","OK"
"923","S706",0,0,0,NA,NA,52,"0","0",0,"2","OK"
"924","S707",NA,0.693147180559945,1,2,3,67,"0","3",1,"2","OK"
"925","S708",1,6.75343791859778,1,857,6,22,"1","1",1,"2","OK"
"926","S709",0,0,0,NA,NA,38,"0","0",1,"2","OK"
"927","S710",1,0,0,NA,NA,62,"0","3",1,"2","OK"
"928","S711",0,0.693147180559945,1,2,4,25,"1","1",0,"1","OK"
"929","S712",0,0,0,NA,NA,39,"0","0",1,"3","OK"
"930","S713",1,6.05678401322862,1,427,1,26,"0","2",1,"2","OK"
"931","S714",1,7.00124562206948,1,1098,6,24,"1","1",1,"2","OK"
"932","S715",0,0,0,NA,NA,20,"1","1",1,"2","OK"
"933","S716",0,0,0,NA,NA,20,"1","1",0,"3","OK"
"934","S717",0,0.693147180559945,1,2,2,20,"1","1",NA,"3","OK"
"935","S718",1,3.63758615972639,1,38,1,30,"0","2",0,"2","OK"
"936","S719",1,0,0,NA,NA,34,"0","0",0,"2","OK"
"937","S720",1,6.52795791762255,1,684,6,32,"0","0",NA,"1","OK"
"938","S721",1,0,0,NA,NA,19,"1","1",0,"3","OK"
"939","S722",1,0,0,NA,NA,39,"0","0",0,"3","OK"
"940","S723",1,0.693147180559945,1,2,3,21,"1","1",1,"1","OK"
"941","S724",1,4.45434729625351,1,86,2,29,"0","2",1,"2","OK"
"942","S725",0,0.693147180559945,1,2,2,19,"1","1",1,"1","OK"
"943","S726",1,0,0,NA,NA,34,"0","0",0,"2","OK"
"944","S727",0,0.693147180559945,1,2,2,42,"0","0",1,"2","OK"
"945","S728",0,0,0,NA,NA,44,"0","0",1,"1","OK"
"946","S729",1,0,0,NA,NA,70,"0","3",0,"2","OK"
"947","S730",0,0,0,NA,NA,55,"0","0",1,"2","OK"
"948","S731",0,0,0,NA,NA,27,"0","2",0,"2","OK"
"949","S732",1,6.45990445437753,1,639,2,18,"1","1",NA,"1","OK"
"950","S733",0,0,0,NA,NA,25,"1","1",1,"2","OK"
"951","S734",0,0,0,NA,NA,46,"0","0",1,"3","OK"
"952","S61",NA,0,0,NA,NA,58,"0","0",1,"0","NC"
"953","S144",NA,5.75890177387728,1,317,4,37,"0","0",0,"0","NC"
"954","S172",NA,0,0,NA,NA,72,"0","3",1,"1","NC"
"955","S173",NA,0,0,NA,NA,32,"0","0",1,"1","NC"
"956","S5",NA,0.693147180559945,1,2,3,28,"0","2",1,"1","NC"
"957","S135",NA,0,0,NA,NA,27,"0","2",NA,"0","NC"
"958","S7",NA,0.693147180559945,1,2,1,32,"0","0",1,"1","NC"
"959","S177",NA,0,0,NA,NA,48,"0","0",0,"0","NC"
"960","S151",NA,0,0,NA,NA,64,"0","3",1,"2","NC"
"961","S10",NA,4.81218435537242,1,123,3,33,"0","0",1,"1","NC"
"962","S140",NA,5.94803498918065,1,383,3,34,"0","0",1,"0","NC"
"963","S30",NA,0,0,NA,NA,52,"0","0",0,"1","NC"
"964","S183",NA,0,0,NA,NA,80,"0","3",0,"2","NC"
"965","S243",NA,0,0,NA,NA,49,"0","0",NA,"0","NC"
"966","S161",NA,0.693147180559945,1,2,1,18,"1","1",1,"0","NC"
"967","S16",NA,0,0,NA,NA,25,"1","1",1,"2","NC"
"968","S186",NA,6.09807428216624,1,445,5,22,"1","1",1,"0","NC"
"969","S232",NA,6.82110747225646,1,917,3,19,"1","1",0,"0","NC"
"970","S124",NA,0,0,NA,NA,26,"0","2",0,"0","NC"
"971","S175",NA,0,0,NA,NA,43,"0","0",0,"0","NC"
"972","S40",NA,6.44730586254121,1,631,4,25,"1","1",1,"1","NC"
"973","S123",NA,5.85793315448346,1,350,3,38,"0","0",1,"1","NC"
"974","S128",NA,5.36597601502185,1,214,4,62,"0","3",1,"1","NC"
"975","S166",NA,0,0,NA,NA,46,"0","0",1,"2","NC"
"976","S125",NA,0,0,NA,NA,30,"0","2",1,"0","NC"
"977","S72",NA,0,0,NA,NA,30,"0","2",1,"1","NC"
"978","S247",NA,0,0,NA,NA,39,"0","0",1,"1","NC"
"979","S174",NA,0.693147180559945,1,2,4,40,"0","0",1,"0","NC"
"980","S202",NA,0,0,NA,NA,62,"0","3",1,"2","NC"
"981","S117",NA,5.17614973257383,1,177,1,36,"0","0",0,"0","NC"
"982","S218",NA,0.693147180559945,1,2,4,46,"0","0",NA,"1","NC"
"983","S134",NA,0,0,NA,NA,44,"0","0",0,"0","NC"
"984","S57",NA,4.52178857704904,1,92,3,52,"0","0",1,"0","NC"
